Info 0    [17:52:32.037] Starting TS Server
Info 23   [17:53:20.259] getCompletionData: Is inside comment: 0.04489201307296753
Info 24   [17:53:20.259] getCompletionData: Get previous token: 0.07575803995132446
Info 25   [17:53:20.260] getCompletionsAtPosition: isCompletionListBlocker: 0.3323270082473755
Info 26   [17:53:20.263] getExportInfoMap: cache miss or empty; calculating new results
Info 27   [17:53:20.264] getExportInfoMap: done in 0.36233097314834595 ms
Info 28   [17:53:20.264] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 29   [17:53:20.264] collectAutoImports: response is complete
Info 30   [17:53:20.264] collectAutoImports: 0.05169397592544556
Info 31   [17:53:20.264] getCompletionData: Semantic work: 3.6199730038642883
Info 32   [17:53:20.276] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.333682000637054
Info 33   [17:53:20.296] getCompletionData: Get current token: 0.0069429874420166016
Info 34   [17:53:20.296] getCompletionData: Is inside comment: 0.010419011116027832
Info 35   [17:53:20.296] getCompletionData: Get previous token: 0.07497698068618774
Info 36   [17:53:20.296] getCompletionsAtPosition: isCompletionListBlocker: 0.019736051559448242
Info 37   [17:53:20.299] getExportInfoMap: cache miss or empty; calculating new results
Info 38   [17:53:20.299] getExportInfoMap: done in 0.2625499963760376 ms
Info 39   [17:53:20.299] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 40   [17:53:20.299] collectAutoImports: response is complete
Info 41   [17:53:20.300] collectAutoImports: 0.03601604700088501
Info 42   [17:53:20.300] getCompletionData: Semantic work: 3.3625329732894897
Info 43   [17:53:20.312] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.385325968265533
Info 44   [17:53:20.316] getCompletionData: Get current token: 0.005039989948272705
Info 45   [17:53:20.316] getCompletionData: Is inside comment: 0.00843501091003418
Info 46   [17:53:20.316] getCompletionData: Get previous token: 0.01491701602935791
Info 47   [17:53:20.316] getCompletionsAtPosition: isCompletionListBlocker: 0.00940704345703125
Info 48   [17:53:20.319] getExportInfoMap: cache miss or empty; calculating new results
Info 49   [17:53:20.319] getExportInfoMap: done in 1.0681009888648987 ms
Info 50   [17:53:20.319] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 51   [17:53:20.319] collectAutoImports: response is complete
Info 52   [17:53:20.319] collectAutoImports: 0.028441965579986572
Info 53   [17:53:20.319] getCompletionData: Semantic work: 3.274782955646515
Info 54   [17:53:20.330] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.162239015102386
Info 55   [17:53:20.333] getCompletionData: Get current token: 0.003336012363433838
Info 56   [17:53:20.333] getCompletionData: Is inside comment: 0.008324980735778809
Info 57   [17:53:20.333] getCompletionData: Get previous token: 0.015147030353546143
Info 58   [17:53:20.333] getCompletionsAtPosition: isCompletionListBlocker: 0.008816003799438477
Info 59   [17:53:20.335] getExportInfoMap: cache miss or empty; calculating new results
Info 60   [17:53:20.335] getExportInfoMap: done in 0.18769299983978271 ms
Info 61   [17:53:20.335] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 62   [17:53:20.335] collectAutoImports: response is complete
Info 63   [17:53:20.335] collectAutoImports: 0.07782196998596191
Info 64   [17:53:20.335] getCompletionData: Semantic work: 2.3286439776420593
Info 65   [17:53:20.339] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.038317024707794
Info 66   [17:53:20.342] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [17:53:20.344] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 2.6261969804763794ms
Info 68   [17:53:20.344] Different program with same set of files
Info 69   [17:53:20.345] getCompletionData: Get current token: 0.004156947135925293
Info 70   [17:53:20.345] getCompletionData: Is inside comment: 0.01410597562789917
Info 71   [17:53:20.345] getCompletionData: Get previous token: 0.017542004585266113
Info 72   [17:53:20.345] getCompletionsAtPosition: isCompletionListBlocker: 0.013004004955291748
Info 73   [17:53:20.346] getExportInfoMap: cache miss or empty; calculating new results
Info 74   [17:53:20.347] getExportInfoMap: done in 0.1674860119819641 ms
Info 75   [17:53:20.347] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 76   [17:53:20.347] collectAutoImports: response is complete
Info 77   [17:53:20.347] collectAutoImports: 0.03005504608154297
Info 78   [17:53:20.347] getCompletionData: Semantic work: 1.8533660173416138
Info 79   [17:53:20.354] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.382296025753021
Info 80   [17:53:20.356] getCompletionData: Get current token: 0.0032759904861450195
Info 81   [17:53:20.356] getCompletionData: Is inside comment: 0.009316980838775635
Info 82   [17:53:20.356] getCompletionData: Get previous token: 0.018243014812469482
Info 83   [17:53:20.356] getCompletionsAtPosition: isCompletionListBlocker: 0.011581003665924072
Info 84   [17:53:20.358] getExportInfoMap: cache miss or empty; calculating new results
Info 85   [17:53:20.358] getExportInfoMap: done in 0.1075659990310669 ms
Info 86   [17:53:20.358] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 87   [17:53:20.358] collectAutoImports: response is complete
Info 88   [17:53:20.358] collectAutoImports: 0.02085798978805542
Info 89   [17:53:20.358] getCompletionData: Semantic work: 1.8775700330734253
Info 90   [17:53:20.367] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.263868987560272
Info 91   [17:53:20.370] getCompletionData: Get current token: 0.004207968711853027
Info 92   [17:53:20.370] getCompletionData: Is inside comment: 0.012492954730987549
Info 93   [17:53:20.370] getCompletionData: Get previous token: 0.018885016441345215
Info 94   [17:53:20.370] getCompletionsAtPosition: isCompletionListBlocker: 0.013755977153778076
Info 95   [17:53:20.371] getExportInfoMap: cache miss or empty; calculating new results
Info 96   [17:53:20.372] getExportInfoMap: done in 0.2645530104637146 ms
Info 97   [17:53:20.372] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 98   [17:53:20.372] collectAutoImports: response is complete
Info 99   [17:53:20.372] collectAutoImports: 0.02818197011947632
Info 100  [17:53:20.372] getCompletionData: Semantic work: 2.0054540038108826
Info 101  [17:53:20.378] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.334621965885162
Info 102  [17:53:20.380] getCompletionData: Get current token: 0.003336012363433838
Info 103  [17:53:20.380] getCompletionData: Is inside comment: 0.008805990219116211
Info 104  [17:53:20.380] getCompletionData: Get previous token: 0.013264000415802002
Info 105  [17:53:20.380] getCompletionsAtPosition: isCompletionListBlocker: 0.01008903980255127
Info 106  [17:53:20.381] getExportInfoMap: cache miss or empty; calculating new results
Info 107  [17:53:20.381] getExportInfoMap: done in 0.09791803359985352 ms
Info 108  [17:53:20.381] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 109  [17:53:20.381] collectAutoImports: response is complete
Info 110  [17:53:20.381] collectAutoImports: 0.017010986804962158
Info 111  [17:53:20.381] getCompletionData: Semantic work: 1.2853780388832092
Info 112  [17:53:20.385] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3.7916769981384277
Info 113  [17:53:20.555] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [17:53:20.560] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 5.138266980648041ms
Info 115  [17:53:20.560] Different program with same set of files
Info 116  [17:53:20.922] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 117  [17:53:20.927] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 4.521620988845825ms
Info 118  [17:53:20.927] Different program with same set of files
Info 119  [17:53:22.796] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 120  [17:53:22.801] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 4.2234960198402405ms
Info 121  [17:53:22.801] Different program with same set of files
Info 122  [17:53:22.801] getCompletionData: Get current token: 0.006262004375457764
Info 123  [17:53:22.801] getCompletionData: Is inside comment: 0.0210990309715271
Info 124  [17:53:22.801] getCompletionData: Get previous token: 0.036376953125
Info 125  [17:53:22.801] getCompletionsAtPosition: isCompletionListBlocker: 0.004758954048156738
Info 126  [17:53:22.801] Returning an empty list because completion was requested in an invalid position.
Info 127  [17:53:22.809] getCompletionData: Get current token: 0.0064820051193237305
Info 128  [17:53:22.809] getCompletionData: Is inside comment: 0.021018028259277344
Info 129  [17:53:22.809] getCompletionData: Get previous token: 0.03522402048110962
Info 130  [17:53:22.809] getCompletionsAtPosition: isCompletionListBlocker: 0.004639029502868652
Info 131  [17:53:22.809] Returning an empty list because completion was requested in an invalid position.
Info 132  [17:53:22.809] getCompletionData: Get current token: 0.00584101676940918
Info 133  [17:53:22.809] getCompletionData: Is inside comment: 0.02266097068786621
Info 134  [17:53:22.809] getCompletionData: Get previous token: 0.03543400764465332
Info 135  [17:53:22.809] getCompletionsAtPosition: isCompletionListBlocker: 0.002804994583129883
Info 136  [17:53:22.809] Returning an empty list because completion was requested in an invalid position.
Info 137  [17:53:22.810] getCompletionData: Get current token: 0.004226982593536377
Info 138  [17:53:22.810] getCompletionData: Is inside comment: 0.015679001808166504
Info 139  [17:53:22.810] getCompletionData: Get previous token: 0.027469992637634277
Info 140  [17:53:22.810] getCompletionsAtPosition: isCompletionListBlocker: 0.006362020969390869
Info 141  [17:53:22.810] Returning an empty list because completion was requested in an invalid position.
Info 142  [17:53:22.860] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 143  [17:53:22.863] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 2.5665600299835205ms
Info 144  [17:53:22.863] Different program with same set of files
Info 145  [17:53:22.863] getCompletionData: Get current token: 0.004828989505767822
Info 146  [17:53:22.863] getCompletionData: Is inside comment: 0.017571985721588135
Info 147  [17:53:22.863] getCompletionData: Get previous token: 0.027990996837615967
Info 148  [17:53:22.863] getCompletionsAtPosition: isCompletionListBlocker: 0.0022349953651428223
Info 149  [17:53:22.863] Returning an empty list because completion was requested in an invalid position.
Info 150  [17:53:22.865] getCompletionData: Get current token: 0.00515902042388916
Info 151  [17:53:22.865] getCompletionData: Is inside comment: 0.01633000373840332
Info 152  [17:53:22.865] getCompletionData: Get previous token: 0.02783101797103882
Info 153  [17:53:22.865] getCompletionsAtPosition: isCompletionListBlocker: 0.002183973789215088
Info 154  [17:53:22.865] Returning an empty list because completion was requested in an invalid position.
Info 155  [17:53:22.881] getCompletionData: Get current token: 0.0064820051193237305
Info 156  [17:53:22.881] getCompletionData: Is inside comment: 0.02085798978805542
Info 157  [17:53:22.881] getCompletionData: Get previous token: 0.040554046630859375
Info 158  [17:53:22.881] getCompletionsAtPosition: isCompletionListBlocker: 0.0026850104331970215
Info 159  [17:53:22.881] Returning an empty list because completion was requested in an invalid position.
Info 160  [17:53:22.881] getCompletionData: Get current token: 0.007373988628387451
Info 161  [17:53:22.881] getCompletionData: Is inside comment: 0.019565999507904053
Info 162  [17:53:22.881] getCompletionData: Get previous token: 0.040412962436676025
Info 163  [17:53:22.881] getCompletionsAtPosition: isCompletionListBlocker: 0.002454996109008789
Info 164  [17:53:22.881] Returning an empty list because completion was requested in an invalid position.
Info 165  [17:53:22.933] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [17:53:22.936] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 2.970156967639923ms
Info 167  [17:53:22.936] Different program with same set of files
Info 168  [17:53:22.936] getCompletionData: Get current token: 0.005769968032836914
Info 169  [17:53:22.936] getCompletionData: Is inside comment: 0.020597994327545166
Info 170  [17:53:22.936] getCompletionData: Get previous token: 0.035785019397735596
Info 171  [17:53:22.936] getCompletionsAtPosition: isCompletionListBlocker: 0.0030859708786010742
Info 172  [17:53:22.936] Returning an empty list because completion was requested in an invalid position.
Info 173  [17:53:22.958] getCompletionData: Get current token: 0.007825016975402832
Info 174  [17:53:22.958] getCompletionData: Is inside comment: 0.02087801694869995
Info 175  [17:53:22.958] getCompletionData: Get previous token: 0.037949979305267334
Info 176  [17:53:22.959] getCompletionsAtPosition: isCompletionListBlocker: 0.0024750232696533203
Info 177  [17:53:22.959] Returning an empty list because completion was requested in an invalid position.
Info 178  [17:53:22.978] getCompletionData: Get current token: 0.010029017925262451
Info 179  [17:53:22.978] getCompletionData: Is inside comment: 0.021849989891052246
Info 180  [17:53:22.978] getCompletionData: Get previous token: 0.03858000040054321
Info 181  [17:53:22.978] getCompletionsAtPosition: isCompletionListBlocker: 0.003376007080078125
Info 182  [17:53:22.978] Returning an empty list because completion was requested in an invalid position.
Info 183  [17:53:22.979] getCompletionData: Get current token: 0.005580008029937744
Info 184  [17:53:22.979] getCompletionData: Is inside comment: 0.01981598138809204
Info 185  [17:53:22.979] getCompletionData: Get previous token: 0.035194993019104004
Info 186  [17:53:22.979] getCompletionsAtPosition: isCompletionListBlocker: 0.0033559799194335938
Info 187  [17:53:22.979] Returning an empty list because completion was requested in an invalid position.
Info 188  [17:53:23.091] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [17:53:23.093] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 2.2102489471435547ms
Info 190  [17:53:23.093] Different program with same set of files
Info 191  [17:53:23.140] getCompletionData: Get current token: 0.004418015480041504
Info 192  [17:53:23.140] getCompletionData: Is inside comment: 0.011010050773620605
Info 193  [17:53:23.140] getCompletionData: Get previous token: 0.018483996391296387
Info 194  [17:53:23.140] getCompletionsAtPosition: isCompletionListBlocker: 0.0017929673194885254
Info 195  [17:53:23.140] Returning an empty list because completion was requested in an invalid position.
Info 196  [17:53:23.145] getCompletionData: Get current token: 0.006873011589050293
Info 197  [17:53:23.145] getCompletionData: Is inside comment: 0.023373007774353027
Info 198  [17:53:23.145] getCompletionData: Get previous token: 0.041155993938446045
Info 199  [17:53:23.145] getCompletionsAtPosition: isCompletionListBlocker: 0.00284498929977417
Info 200  [17:53:23.145] Returning an empty list because completion was requested in an invalid position.
Info 201  [17:53:23.167] getCompletionData: Get current token: 0.006853044033050537
Info 202  [17:53:23.167] getCompletionData: Is inside comment: 0.023163020610809326
Info 203  [17:53:23.167] getCompletionData: Get previous token: 0.05034196376800537
Info 204  [17:53:23.167] getCompletionsAtPosition: isCompletionListBlocker: 0.0027550458908081055
Info 205  [17:53:23.167] Returning an empty list because completion was requested in an invalid position.
Info 206  [17:53:23.185] getCompletionData: Get current token: 0.0072029829025268555
Info 207  [17:53:23.185] getCompletionData: Is inside comment: 0.02392399311065674
Info 208  [17:53:23.185] getCompletionData: Get previous token: 0.04106497764587402
Info 209  [17:53:23.185] getCompletionsAtPosition: isCompletionListBlocker: 0.002866029739379883
Info 210  [17:53:23.185] Returning an empty list because completion was requested in an invalid position.
Info 211  [17:53:23.501] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 212  [17:53:23.505] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 3.335204005241394ms
Info 213  [17:53:23.505] Different program with same set of files
Info 214  [17:53:23.505] getCompletionData: Get current token: 0.0061209797859191895
Info 215  [17:53:23.505] getCompletionData: Is inside comment: 0.021638989448547363
Info 216  [17:53:23.505] getCompletionData: Get previous token: 0.037016987800598145
Info 217  [17:53:23.505] getCompletionsAtPosition: isCompletionListBlocker: 0.0033960342407226562
Info 218  [17:53:23.505] Returning an empty list because completion was requested in an invalid position.
Info 219  [17:53:23.507] getCompletionData: Get current token: 0.005670011043548584
Info 220  [17:53:23.507] getCompletionData: Is inside comment: 0.020376980304718018
Info 221  [17:53:23.507] getCompletionData: Get previous token: 0.035775959491729736
Info 222  [17:53:23.507] getCompletionsAtPosition: isCompletionListBlocker: 0.002333998680114746
Info 223  [17:53:23.507] Returning an empty list because completion was requested in an invalid position.
Info 224  [17:53:23.528] getCompletionData: Get current token: 0.006141006946563721
Info 225  [17:53:23.528] getCompletionData: Is inside comment: 0.021068036556243896
Info 226  [17:53:23.528] getCompletionData: Get previous token: 0.03595501184463501
Info 227  [17:53:23.528] getCompletionsAtPosition: isCompletionListBlocker: 0.0037059783935546875
Info 228  [17:53:23.528] Returning an empty list because completion was requested in an invalid position.
Info 229  [17:53:23.550] getCompletionData: Get current token: 0.006060957908630371
Info 230  [17:53:23.550] getCompletionData: Is inside comment: 0.020717978477478027
Info 231  [17:53:23.550] getCompletionData: Get previous token: 0.03606599569320679
Info 232  [17:53:23.550] getCompletionsAtPosition: isCompletionListBlocker: 0.002695024013519287
Info 233  [17:53:23.550] Returning an empty list because completion was requested in an invalid position.
Info 234  [17:53:23.708] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 235  [17:53:23.710] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 2.327313005924225ms
Info 236  [17:53:23.710] Different program with same set of files
Info 237  [17:53:23.711] getCompletionData: Get current token: 0.008304953575134277
Info 238  [17:53:23.711] getCompletionData: Is inside comment: 0.023712992668151855
Info 239  [17:53:23.711] getCompletionData: Get previous token: 0.03989303112030029
Info 240  [17:53:23.711] getCompletionsAtPosition: isCompletionListBlocker: 0.0072640180587768555
Info 241  [17:53:23.711] Returning an empty list because completion was requested in an invalid position.
Info 242  [17:53:23.713] getCompletionData: Get current token: 0.0044280290603637695
Info 243  [17:53:23.713] getCompletionData: Is inside comment: 0.01534801721572876
Info 244  [17:53:23.713] getCompletionData: Get previous token: 0.027159035205841064
Info 245  [17:53:23.713] getCompletionsAtPosition: isCompletionListBlocker: 0.0049190521240234375
Info 246  [17:53:23.713] Returning an empty list because completion was requested in an invalid position.
Info 247  [17:53:23.735] getCompletionData: Get current token: 0.005980968475341797
Info 248  [17:53:23.736] getCompletionData: Is inside comment: 0.01960599422454834
Info 249  [17:53:23.736] getCompletionData: Get previous token: 0.03189796209335327
Info 250  [17:53:23.736] getCompletionsAtPosition: isCompletionListBlocker: 0.005549967288970947
Info 251  [17:53:23.736] Returning an empty list because completion was requested in an invalid position.
Info 252  [17:53:23.737] getCompletionData: Get current token: 0.00532001256942749
Info 253  [17:53:23.737] getCompletionData: Is inside comment: 0.018523991107940674
Info 254  [17:53:23.737] getCompletionData: Get previous token: 0.03141796588897705
Info 255  [17:53:23.737] getCompletionsAtPosition: isCompletionListBlocker: 0.003345966339111328
Info 256  [17:53:23.737] Returning an empty list because completion was requested in an invalid position.
Info 257  [17:53:23.836] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 258  [17:53:23.839] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 2.6245359778404236ms
Info 259  [17:53:23.839] Different program with same set of files
Info 260  [17:53:23.839] getCompletionData: Get current token: 0.005050003528594971
Info 261  [17:53:23.839] getCompletionData: Is inside comment: 0.018664002418518066
Info 262  [17:53:23.840] getCompletionData: Get previous token: 0.05347800254821777
Info 263  [17:53:23.840] getCompletionsAtPosition: isCompletionListBlocker: 0.0034360289573669434
Info 264  [17:53:23.840] Returning an empty list because completion was requested in an invalid position.
Info 265  [17:53:23.841] getCompletionData: Get current token: 0.0036370158195495605
Info 266  [17:53:23.841] getCompletionData: Is inside comment: 0.014126002788543701
Info 267  [17:53:23.841] getCompletionData: Get previous token: 0.024425029754638672
Info 268  [17:53:23.841] getCompletionsAtPosition: isCompletionListBlocker: 0.0022240281105041504
Info 269  [17:53:23.841] Returning an empty list because completion was requested in an invalid position.
Info 270  [17:53:23.862] getCompletionData: Get current token: 0.0036159753799438477
Info 271  [17:53:23.862] getCompletionData: Is inside comment: 0.015067040920257568
Info 272  [17:53:23.863] getCompletionData: Get previous token: 0.023984014987945557
Info 273  [17:53:23.863] getCompletionsAtPosition: isCompletionListBlocker: 0.002254009246826172
Info 274  [17:53:23.863] Returning an empty list because completion was requested in an invalid position.
Info 275  [17:53:23.866] getCompletionData: Get current token: 0.004749000072479248
Info 276  [17:53:23.866] getCompletionData: Is inside comment: 0.015127003192901611
Info 277  [17:53:23.866] getCompletionData: Get previous token: 0.0244939923286438
Info 278  [17:53:23.866] getCompletionsAtPosition: isCompletionListBlocker: 0.004929006099700928
Info 279  [17:53:23.866] Returning an empty list because completion was requested in an invalid position.
Info 280  [17:53:23.916] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 281  [17:53:23.919] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 2.5673009753227234ms
Info 282  [17:53:23.919] Different program with same set of files
Info 283  [17:53:23.919] getCompletionData: Get current token: 0.0038470029830932617
Info 284  [17:53:23.919] getCompletionData: Is inside comment: 0.014416038990020752
Info 285  [17:53:23.919] getCompletionData: Get previous token: 0.025265991687774658
Info 286  [17:53:23.919] getCompletionsAtPosition: isCompletionListBlocker: 0.0023239850997924805
Info 287  [17:53:23.919] Returning an empty list because completion was requested in an invalid position.
Info 288  [17:53:23.921] getCompletionData: Get current token: 0.004358053207397461
Info 289  [17:53:23.921] getCompletionData: Is inside comment: 0.014706969261169434
Info 290  [17:53:23.921] getCompletionData: Get previous token: 0.02492499351501465
Info 291  [17:53:23.921] getCompletionsAtPosition: isCompletionListBlocker: 0.002674996852874756
Info 292  [17:53:23.921] Returning an empty list because completion was requested in an invalid position.
Info 293  [17:53:23.943] getCompletionData: Get current token: 0.0047190189361572266
Info 294  [17:53:23.943] getCompletionData: Is inside comment: 0.017702996730804443
Info 295  [17:53:23.943] getCompletionData: Get previous token: 0.024824976921081543
Info 296  [17:53:23.943] getCompletionsAtPosition: isCompletionListBlocker: 0.005360007286071777
Info 297  [17:53:23.943] Returning an empty list because completion was requested in an invalid position.
Info 298  [17:53:23.954] getCompletionData: Get current token: 0.006130993366241455
Info 299  [17:53:23.954] getCompletionData: Is inside comment: 0.019015014171600342
Info 300  [17:53:23.954] getCompletionData: Get previous token: 0.031426966190338135
Info 301  [17:53:23.954] getCompletionsAtPosition: isCompletionListBlocker: 0.0053400397300720215
Info 302  [17:53:23.954] Returning an empty list because completion was requested in an invalid position.
Info 303  [17:53:24.628] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 304  [17:53:24.631] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 2.8265349864959717ms
Info 305  [17:53:24.631] Different program with same set of files
Info 306  [17:53:24.632] getCompletionData: Get current token: 0.006211996078491211
Info 307  [17:53:24.632] getCompletionData: Is inside comment: 0.018503010272979736
Info 308  [17:53:24.632] getCompletionData: Get previous token: 0.033650994300842285
Info 309  [17:53:24.632] getCompletionsAtPosition: isCompletionListBlocker: 0.19189101457595825
Info 310  [17:53:24.632] Returning an empty list because completion was requested in an invalid position.
Info 311  [17:53:24.633] getCompletionData: Get current token: 0.004839003086090088
Info 312  [17:53:24.633] getCompletionData: Is inside comment: 0.017742037773132324
Info 313  [17:53:24.633] getCompletionData: Get previous token: 0.03290998935699463
Info 314  [17:53:24.633] getCompletionsAtPosition: isCompletionListBlocker: 0.008576035499572754
Info 315  [17:53:24.633] Returning an empty list because completion was requested in an invalid position.
Info 316  [17:53:24.655] getCompletionData: Get current token: 0.005409955978393555
Info 317  [17:53:24.655] getCompletionData: Is inside comment: 0.019024968147277832
Info 318  [17:53:24.655] getCompletionData: Get previous token: 0.4730539917945862
Info 319  [17:53:24.655] getCompletionsAtPosition: isCompletionListBlocker: 0.0069429874420166016
Info 320  [17:53:24.655] Returning an empty list because completion was requested in an invalid position.
Info 321  [17:53:24.677] getCompletionData: Get current token: 0.007021963596343994
Info 322  [17:53:24.677] getCompletionData: Is inside comment: 0.021690011024475098
Info 323  [17:53:24.678] getCompletionData: Get previous token: 0.03179800510406494
Info 324  [17:53:24.678] getCompletionsAtPosition: isCompletionListBlocker: 0.003526031970977783
Info 325  [17:53:24.678] Returning an empty list because completion was requested in an invalid position.
Info 326  [17:53:24.949] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 327  [17:53:24.952] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 2.711083948612213ms
Info 328  [17:53:24.952] Different program with same set of files
Info 329  [17:53:24.952] getCompletionData: Get current token: 0.004628956317901611
Info 330  [17:53:24.952] getCompletionData: Is inside comment: 0.022150039672851562
Info 331  [17:53:24.952] getCompletionData: Get previous token: 0.031007051467895508
Info 332  [17:53:24.952] getCompletionsAtPosition: isCompletionListBlocker: 0.0034259557723999023
Info 333  [17:53:24.952] Returning an empty list because completion was requested in an invalid position.
Info 334  [17:53:24.953] getCompletionData: Get current token: 0.004819035530090332
Info 335  [17:53:24.953] getCompletionData: Is inside comment: 0.017481982707977295
Info 336  [17:53:24.953] getCompletionData: Get previous token: 0.030706048011779785
Info 337  [17:53:24.953] getCompletionsAtPosition: isCompletionListBlocker: 0.003175973892211914
Info 338  [17:53:24.953] Returning an empty list because completion was requested in an invalid position.
Info 339  [17:53:24.953] getCompletionData: Get current token: 0.006000995635986328
Info 340  [17:53:24.953] getCompletionData: Is inside comment: 0.017251968383789062
Info 341  [17:53:24.953] getCompletionData: Get previous token: 0.032369017601013184
